"Gewone esdoorn";4863
"Gewone es";8061
"Italiaanse populier";2411
"Gewone haagbeuk (cultuurvariëteit)";2987
"Monumentaaliep";2264
"Gewone plataan";14702
"Amerikaanse linde";2503
"Winterlinde";2296
"Winterlinde (cultuurvariëteit)";1341
"Meelbes";501
"Veldesdoorn (cultuurvariëteit)";2232
"Valse acacia (cultuurvariëteit)";3174
"Zweedse meelbes";884
"Wilde lijsterbes (cultuurvariëteit)";198
"Hollandse iep (cultuurvariëteit)";4289
"Huntingdon-iep";6481
"Moseik";1146
"Hollandse linde (cultuurvariëteit)";9072
"Gewone vleugelnoot";1696
"Zomerlinde";1302
"Goudes";187
"Pluimes";227
"Iep (cultuurvariëteit)";12691
"Krimlinde";1199
"Zilveresdoorn";716
"Boomhazelaar";1122
"Eenstijlige meidoorn";3453
"Rode meidoorn (cultuurvariëteit)";1042
"Zoete kers (cultuurvariëteit)";1191
"Kers";1053
"Wilde lijsterbes";660
"Siberische balsempopulier";187
"Zwarte els";6623
"Canadese populier";1303
"Zwarte els (cultuurvariëteit)";961
"Zilveresdoorn (cultuurvariëteit)";1092
"Valse Christusdoorn (cultuurvariëteit)";3284
"Hollandse iep";2736
"Zachte es";289
"Zachte es (cultuurvariëteit)";86
"Callery-peer (cultuurvariëteit)";2370
"Japanse sierkers (cultuurvariëteit)";2371
"Zilverlinde (cultuurvariëteit)";1780
"Zomereik";8654
"Veldesdoorn";7482
"Gewone es (cultuurvariëteit)";8273
"Grauwe abeel";1502
"Tulpenboom";535
"Noorse esdoorn (cultuurvariëteit)";1766
"Zachte berk";1813
"Els";1075
"Oosterse plataan";131
"Peer (cultuurvariëteit)";247
"Japanse notenboom";998
"Weymouthden";42
"Zweedse meelbes (cultuurvariëteit)";265
"Witte paardenkastanje";1255
"Canadese populier (cultuurvariëteit)";4966
"Pluimiep";160
"Gewone haagbeuk";3473
"Amberboom";1145
"Bolacacia";682
"Amerikaanse linde (cultuurvariëteit)";245
"Piramidale eik";1090
"Appel (cultuurvariëteit)";2726
"Moeraseik";1428
"Eenstijlige meidoorn (cultuurvariëteit)";489
"Kerspruim (cultuurvariëteit)";875
"Dubbelbloemige paardenkastanje";1976
"Veldiep (cultuurvariëteit)";145
"Hollandse linde";4560
"Noorse esdoorn";960
"Zoete kers";1466
"Valse acacia";1786
"Veldiep";1310
"Amerikaanse es";129
"Smalbladige es (cultuurvariëteit)";488
"Rode paardenkastanje (cultuurvariëteit)";261
"Bergiep";191
"Goudiep";149
"Gewone beuk";2115
"Breedbladige meelbes (cultuurvariëteit)";21
"Balsempopulier";105
"Schietwilg";8149
"Gewone esdoorn (cultuurvariëteit)";3867
"Honingboom";882
"Kolchische esdoorn (cultuurvariëteit)";59
"Papierberk";187
"Hemelboom";912
"Pruimbladige meidoorn (cultuurvariëteit)";261
"Kers (cultuurvariëteit)";1669
"Meidoorn";333
"Vogelkers (cultuurvariëteit)";330
"Treurwilg";1077
"Tweestijlige meidoorn (cultuurvariëteit)";38
"Bolesdoorn";969
"Zwarte populier (cultuurvariëteit)";532
"Meelbes (cultuurvariëteit)";1188
"Pluimes (cultuurvariëteit)";285
"Kronkelwilg";272
"Zwarte berk";720
"Duiveltjesiep";38
"Amerikaanse eik";358
"Scharlaken eik";22
"Zilverlinde";1110
"Eenbladige es";387
"Witte els";423
"Trompetboom";487
"Walnoot";354
"Waterwilg";270
"Ratelpopulier";286
"Witte abeel";276
"Hartbladige els";2040
"Smalbladige es";409
"Ruwe berk";5199
"Rijkbloeiende sierappel";366
"Gewone plataan (cultuurvariëteit)";397
"Schietwilg (cultuurvariëteit)";2150
"Gedeelde lijsterbes (cultuurvariëteit)";74
"Rode paardenkastanje";248
"Yoshinokers";179
"Onbekend";2607
"Moerascipres";626
"Scherpe hulst";711
"Kerspruim";182
"Gewone taxus (cultuurvariëteit)";178
"Gewone vlier";26
"Bruine beuk";220
"Zwarte populier";333
"Kobushi-magnolia";761
"Anna-Paulownaboom";182
"Voorjaarskers (cultuurvariëteit)";707
"IJzerhout";231
"Gele kornoelje";368
"Vogelkers";600
"Libanonceder";19
"Vederesdoorn";98
"Treurberk";253
"Prieeliep";129
"Sneeuwpeer";31
"Watercipres";1567
"Cipres (cultuurvariëteit)";36
"Tweestijlige meidoorn";255
"Appel";612
"Eik (cultuurvariëteit)";133
"Meidoorn (cultuurvariëteit)";177
"Ierse taxus";106
"Gewone taxus";1091
"Virginische hopbeuk";5
"Cipres";213
"Goudberk (cultuurvariëteit)";370
"Siberische iep";17
"Mammoetboom";67
"Scherpe hulst (cultuurvariëteit)";861
"Grootbladige hulst";20
"Amerikaanse beuk";14
"Gewone beuk (cultuurvariëteit)";261
"Tamme kastanje";326
"Peer";158
"Kraakwilg";50
"Reuzenkornoelje";93
"Varenbeuk";21
"Mispel";38
"Italiaanse cypres";13
"Servische spar";80
"Witte els (cultuurvariëteit)";125
"Lampionboom";364
"Beverboom";182
"Wegedoorn";55
"Wilde kardinaalsmuts";43
"Goudenregen (cultuurvariëteit)";152
"Treures";20
"Witte moerbei (cultuurvariëteit)";51
"Sierspar (cultuurvariëteit)";2
"Duivelswandelstok";16
"Treurbeuk";26
"Bonte beshulst";5
"Reuzenlevensboom";71
"Goudberk";323
"Zomerlinde (cultuurvariëteit)";439
"Goudenregen";193
"Pruim";36
"Chineze esdoorn (cultuurvariëteit)";37
"Rode kornoelje";27
"Papiermoerbei";68
"Frangula";20
"Californische cypres (cultuurvariëteit)";102
"Babylonische treurwilg";25
"Japanse cypres (cultuurvariëteit)";8
"Zwarte moerbei";28
"Witte moerbei";140
"Vederesdoorn (cultuurvariëteit)";55
"Ruwe berk (cultuurvariëteit)";153
"Lijsterbes (cultuurvariëteit)";124
"Krentenboompje (cultuurvariëteit)";457
"Chinese balsempopulier";1
"Laurierwilg";52
"Himalayaberk (cultuurvariëteit)";1038
"Toringo-sierappel";229
"Witte paardenkastanje (cultuurvariëteit)";184
"Trompetboom (cultuurvariëteit)";245
"Schijnbeuk";114
"Amberboom (cultuurvariëteit)";1171
"Esdoorn";176
"Libanonceder (cultuurvariëteit)";80
"Esdoorn (cultuurvariëteit)";702
"Wilgbladige peer (cultuurvariëteit)";46
"Beverboom (cultuurvariëteit)";223
"Doodsbeenderenboom";46
"Bergiep (cultuurvariëteit)";16
"Wilg";44
"Bitternoot";132
"Toona";3
"Krentenboompje";293
"Zuilberk";78
"Wintereik";21
"Westerse levensboom (cultuurvariëteit)";10
"Grauwe wilg";63
"Gele pavia (cultuurvariëteit)";20
"Zwarte den";788
"Grove den";242
"Crataemespilus (cultuurvariëteit)";2
"Kustmammoetboom";9
"Katsoeraboom";315
"Kurkboom";75
"Hongaarse zilverlinde";18
"Els (cultuurvariëteit)";1069
"Californische cypres";133
"Smalbladige olijfwilg";5
"Kansenboom";23
"Rode esdoorn (cultuurvariëteit)";278
"Europese netelboom";130
"Streepjesbastesdoorn";22
"Grauwe abeel (cultuurvariëteit)";638
"Edelspar (cultuurvariëteit)";4
"Haagbeukbladige hopbeuk";225
"Paardenkastanje (cultuurvariëteit)";18
"Hinokicypres";5
"Yoshinokers (cultuurvariëteit)";12
"Japanse sierkers";197
"Oosterse levensboom";6
"Kastanjebladige eik (cultuurvariëteit)";8
"Geelhout";65
"Populier (cultuurvariëteit)";62
"Judasboom";162
"Fijnspar";221
"Bonte veldiep (cultuurvariëteit)";2
"Himalayaberk";93
"Weichselboom";13
"Zachte eik";8
"Zelkova";88
"Chinese vleugelnoot";21
"Zilverspar";7
"Tulpenboom (cultuurvariëteit)";204
"Chinese jeneverbes (cultuurvariëteit)";30
"Iep";205
"Fijnspar (cultuurvariëteit)";15
"Japanse lijsterbes";31
"Sneeuwklokjesboom";23
"Amerikaanse es (cultuurvariëteit)";326
"Canadese hemlock";11
"Eikbladige haagbeuk";22
"Hemelboom (cultuurvariëteit)";15
"Japanse esdoorn";14
"Zuilbeuk";133
"Dwergmispel (cultuurvariëteit)";7
"Zomereik (cultuurvariëteit)";860
"Rode pavia (cultuurvariëteit)";15
"Spaanse eik (cultuurvariëteit)";15
"Eik";64
"Japanse keizereik";8
"Gezaagdbladige eik";2
"Moseik (cultuurvariëteit)";17
"Amerikaanse eik (cultuurvariëteit)";5
"Moeraseik (cultuurvariëteit)";28
"Tamme kastanje (cultuurvariëteit)";13
"Sycoparrotia";2
"Amerikaanse haagbeuk";1
"Watercipres (cultuurvariëteit)";57
"Oosterse plataan (cultuurvariëteit)";176
"Hongaarse eik";88
"Amerikaanse vogelkers";75
"Oostenrijkse den";182
"Hazelaar";22
"Westerse hemlock";39
"Veelbloemige kornoelje";17
"Wilgbladige peer";23
"Japanse vleugelnoot (cultuurvariëteit)";1
"Rode esdoorn";155
"Tupeloboom";41
"Tamarisk";5
"IJzerhout (cultuurvariëteit)";41
"Portugese laurierkers (cultuurvariëteit)";13
"Finse Lijsterbes";7
"Treurhaagbeuk";7
"Wilde appel";19
"Ratelpopulier (cultuurvariëteit)";99
"Streepjesbastesdoorn (cultuurvariëteit)";3
"Kaukasische els";4
"Douglasspar (cultuurvariëteit)";1
"Oud Hollandse iep";14
"Zelkova (cultuurvariëteit)";31
"Honingboom (cultuurvariëteit)";139
"Pekannoot";2
"Iepbladige gummiboom";8
"Populier";36
"Japanse lariks";48
"Japanse esdoorn (cultuurvariëteit)";24
"Blauwe spar";12
"Olijf";34
"Pruim (cultuurvariëteit)";76
"Lijsterbes";51
"Steppenkers";84
"Steeneik";22
"Drietandesdoorn";11
"Westerse levensboom";130
"Kornoelje";15
"Himalayaceder";77
"Jeneverbes";13
"Prieelberk";75
"Fladderiep";436
"Europese lariks";57
"Dwergcypres";18
"Hulst";12
"Moerascipres (cultuurvariëteit)";85
"Koreaanse spar";9
"Trachycarpus";36
"Den";9
"Edelspar";3
"Voorjaarskers";73
"Linde";266
"Westerse plataan";5
"Scharlaken eik (cultuurvariëteit)";25
"Slangenhuidesdoorn";25
"Levensboom";10
"Katwilg";7
"Zakdoekenboom (cultuurvariëteit)";20
"Franse esdoorn";5
"Berk";37
"Es";49
"Chinese rode berk (cultuurvariëteit)";102
"Lampionboom (cultuurvariëteit)";9
"Chinese rode berk";19
"Gedeelde lijsterbes";23
"Witte abeel (cultuurvariëteit)";140
"Sierspar";3
"Japanse notenboom (cultuurvariëteit)";347
"Gele pavia";23
"Grootbladige populier";19
"Kleverige acacia";5
"Fluweelboom";23
"Vlinderstruik (cultuurvariëteit)";1
"Walnoot (cultuurvariëteit)";78
"Gewone laurierkers";7
"Gewone hazelaar";17
"Oosterse beuk";2
"Stermagnolia";17
"Babylonische treurwilg (cultuurvariëteit)";3
"Japanse cipres";25
"Linde (cultuurvariëteit)";40
"Kweepeer";29
"Reuzenzilverspar";49
"Vijgenboom";10
"Perzische slaapboom";12
"Zakdoekenboom";15
"Douglasspar";74
"Wintereik (cultuurvariëteit)";2
"Es (cultuurvariëteit)";1
"Treureik";6
"Breedbladige meelbes";13
"Toverhazelaar";3
"Servische spar (cultuurvariëteit)";1
"Rode els";8
"Hubei-sierappel";23
"Kaukasische spar";8
"Taxus (cultuurvariëteit)";5
"Engelse veldiep";8
"Kaukasische schijniep";1
"Grijze streepjesbastesdoorn";24
"Zachte eik (cultuurvariëteit)";1
"Grijze wilg (cultuurvariëteit)";17
"Zure kers";10
"Zwepenboom";63
"Goudels";37
"Dwergamandel";2
"Japanse grootbloemige kornoelje";18
"Gewone sering";3
"Rode pavia";4
"Gewone vleugelnoot (cultuurvariëteit)";4
"Grootbladige berk";17
"Gele bergiep (cultuurvariëteit)";12
"Berk (cultuurvariëteit)";768
"Transkaukasische berk";1
"Siberische iep (cultuurvariëteit)";13
"Perzik (cultuurvariëteit)";3
"Bijenboom (cultuurvariëteit)";3
"Althaeastruik (cultuurvariëteit)";31
"Tweekleurige eik";2
"Lederboom";5
"Pterostyrax";6
"Mongoolse linde";24
"Wilde kardinaalsmuts (cultuurvariëteit)";1
"Waterwilg (cultuurvariëteit)";1
"Duindoorn (cultuurvariëteit)";6
"Bijenboom";11
"Spar";6
"Aziatische lariks";1
"Balkanden";1
"Hanedoorn (cultuurvariëteit)";6
"Suikeresdoorn (cultuurvariëteit)";3
"Pimpernoot";5
"Gewone jeneverbes (cultuurvariëteit)";4
"Bergden (cultuurvariëteit)";6
"Sleedoorn";8
"Chinese iep (cultuurvariëteit)";15
"Perzik";6
"Toringo-sierappel (cultuurvariëteit)";80
"Vlier";1
"Apenboom";8
"Bergden";12
"Olijfwilg";1
"Gele beshulst";1
"Witte bitternoot";3
"Hicorynoot";2
"Gewone liguster";2
"Kastanjebladige eik";3
"Chineze esdoorn";3
"Balsempopulier (cultuurvariëteit)";2
"Geoorde wilg";1
"Wilg (cultuurvariëteit)";48
"Japanse grootbloemige kornoelje (cultuurvariëteit)";12
"Netelboom";5
"Katsoeraboom (cultuurvariëteit)";4
"Chinese balsempopulier (cultuurvariëteit)";2
"Elsbladige lijsterbes";37
"Kobushi-magnolia (cultuurvariëteit)";25
"Cricketbatwilg";21
"Libanoneik";1
"Japanse els";2
"Kaukasische els (cultuurvariëteit)";5
"Pruimbladige meidoorn";24
"Callery-peer";11
"Nordmannspar";10
"Grootbloemige kornoelje";2
"Paardenkastanje";14
"Wilgbladige eik";20
"Chinese iep";2
"Toona (cultuurvariëteit)";2
"Chinese sierappel";5
"Pruikenboom";3
"Maackia";3
"Canadese judasboom (cultuurvariëteit)";3
"Himalaya iep";1
"Sering (cultuurvariëteit)";12
"Fluweelboom (cultuurvariëteit)";3
"Tupeloboom (cultuurvariëteit)";1
"Judasboom (cultuurvariëteit)";5
"Oosterse amberboom";10
"Plataan (cultuurvarëteit)";1
"Yunnan-sierappel";3
"Japanse lijsterbes (cultuurvariëteit)";2
"Amandelwilg";1
"Pontische eik";4
"Sycopsis";1
"Amandel";1
"Kurkeik";2
"Suikerberk";27
"Valse Christusdoorn";1
"Kardinaalsmuts";6
"Schijnhulst";9
"Virginische vogelkers";2
"Taxus";4
"Dwergmispel";2
"Chinese jeneverbes";22
"Beuk";1
"Tranenden";13
"Kaki";2
"Plataan (cultuurvariëteit)";1
"Bruine hazelaar";4
"Gewone jeneverbes";2
"Sneeuwbal";2
"Alpenden";8
"Bloemwilg (cultuurvariëteit)";1
"Zuurbes";3
"Podocarpus";7
"Boerenjasmijn (cultuurvariëteit)";3
"Oemleria";1
"Kamperfoelie";1
"Leycesteria";6
"Kolkwitzia";1
"Eleutherococcus";1
"Diervilla";1
"Rode kornoelje (cultuurvariëteit)";1
"Japanse lariks (cultuurvariëteit)";2
"Perzische slaapboom (cultuurvariëteit)";2
"Oranjekers";5
"Ceanothus (cultuurvariëteit)";2
"Viburnum (cultuurvariëteit)";2
"Amandel (cultuurvariëteit)";1
"Duinroos";1
"Dwergkwee (cultuurvariëteit)";3
"Gewone sering (cultuurvariëteit)";5
"Sering";2
"Perzische sering";1
"Zevenzonenboom";6
"Parrotiopsis";1
"Veelbloemige kornoelje (cultuurvariëteit)";2
"Japanse cipres (cultuurvariëteit)";4
"Hortensia (cultuurvariëteit)";1
"Jeneverbes (cultuurvariëteit)";6
"Japanse walnoot (cultuurvariëteit)";2
"Rhododendron (cultuurvariëteit)";4
"Japanse storaxboom (cultuurvariëteit)";7
"Japanse paardenkastanje";1
"Fothergilla";1
"Tamarisk (cultuurvariëteit)";5
"Kweepeer (cultuurvariëteit)";1
"Poncirus";2
"Symplocos";3
"Italiaanse cypres (cultuurvariëteit)";21
"Chimonanthus";5
"Cudrania";1
"Weigela (cultuurvariëteit)";1
"Dipelta";1
"Schijnels (cultuurvariëteit)";1
"Lespedeza";1
"Lagerstroemia";2
"Alangium (cultuurvariëteit)";1
"Mahonia (cultuurvariëteit)";1
"Pseudopanax";1
"Skimmia (cultuurvariëteit)";1
"Stermagnolia (cultuurvariëteit)";1
"Euptelea";1
"Pluimhortensia (cultuurvariëteit)";11
"Schijnhazelaar";7
"Mahonia";1
"Edgeworthia";1
"Escallonia (cultuurvariëteit)";1
"Druifheide (cultuurvariëteit)";9
"Asimina";2
"Schijnels";1
"Stewartia";4
"Dadelpruim";2
"Zanthoxylum";3
"Parelstruik (cultuurvariëteit)";4
"Sneeuwvlokkenboom";4
"Disanthus";1
"Verfeik";2
"Chitalpa (cultuurvariëteit)";2
"Gladbladige treuriep";1
"Sassafras";9
"Europese lariks (cultuurvariëteit)";1
"Maddenia";1
"Parasolden";2
"Japanse storaxboom";4
"Oxydendrum";1
"Cyclocarya";1
"Meliosma";1
"Knoptaxus";2
"Perzische eik";2
"Amerikaanse iep (cultuurvariëteit)";1
"Japanse haagbeuk";1
"Storaxboom";2
"Vernisboom";3
"Picrasma";1
"Aziatische lariks (cultuurvariëteit)";1
"Photinia";2
"Japanse abrikoos";3
"Chinese tulpenboom";1
"Grootbloemige kornoelje (cultuurvariëteit)";1
"Emmenopterys";2
"Grootbladige kornoelje";1
"Japanse sneeuwbal (cultuurvariëteit)";3
"Hemelse bamboe";9
"Druifheide";4
"Chinese dadelboom";2
"Hortensia";3
"Sarcococca";6
"Choisya (cultuurvariëteit)";6
"Kalopanax (cultuurvariëteit)";1
"Hazelaar (cultuurvariëteit)";1
"Japanse toverhazelaar (cultuurvariëteit)";2
"Palmboompje (cultuurvariëteit)";3
"Tetracentron";1
"Erwtenstruik (cultuurvariëteit)";1
"Aucuba (cultuurvariëteit)";1
"Herfstpaardenkastanje";2
"Tuinhortensia (cultuurvariëteit)";3
"Wollige sneeuwbal";1
"Chimonanthus (cultuurvariëteit)";1
"Blaasspirea (cultuurvariëteit)";3
"Beshulst";3
"Gewone vlier (cultuurvariëteit)";1
"Suikerberk (cultuurvariëteit)";1
"Reuzenlevensboom (cultuurvariëteit)";16
"Mammoetboom (cultuurvariëteit)";2
"Hinokicypres (cultuurvariëteit)";4
"Japanse levensboom";5
"Althaeastruik";3
"Japanse cypres";1
"Kardinaalsmuts (cultuurvariëteit)";13
"Grootbladige hulst (cultuurvariëteit)";2
"Podocarpus (cultuurvariëteit)";8
"Knoptaxus (cultuurvariëteit)";3
"Wierookceder";3
"Grove den (cultuurvariëteit)";17
"Torreya";1
"Grijze wilg";1
"Portugese laurierkers";1
"Kalopanax";1
"Transkaukasische berk (cultuurvariëteit)";3
"Diospyros";1
"Colorado zilverspar";1
"Reuzenkornoelje (cultuurvariëteit)";1
"Balsemzilverspar";1
"Spiesden";1
"Canadese hemlock (cultuurvariëteit)";3
"Vleugelnoot";1
"Oosterse levensboom (cultuurvariëteit)";1
"Colorado zilverspar (cultuurvariëteit)";1
"Den (cultuurvariëteit)";2
"Haagbeuk";1
"Liguster";3
"Kashmir iep";1
"Kornoelje (cultuurvariëteit)";1
